,Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
0,116908,HARYANA,1967,1 KALKA,1 L. SINGH,M,,,IND,12787.0
1,116909,HARYANA,1967,1 KALKA,2 K. LAL,M,,,INC,12086.0
2,116910,HARYANA,1967,1 KALKA,3 J. SINGH,M,,,IND,8508.0
3,116911,HARYANA,1967,1 KALKA,4 P. KUMAR,M,,,BJS,5974.0
4,116912,HARYANA,1967,1 KALKA,5 S. SINGH,M,,,IND,122.0
5,116913,HARYANA,1967,2 NARAINGARH,1 L. SINGH,M,,,INC,16691.0
6,116914,HARYANA,1967,2 NARAINGARH,2 R. N. SARUP,M,,,BJS,8528.0
7,116915,HARYANA,1967,2 NARAINGARH,3 N. LAL,M,,,RPI,6816.0
8,116916,HARYANA,1967,2 NARAINGARH,3 N. LAL,M,,,RPI,6816.0
9,116917,HARYANA,1967,2 NARAINGARH,4 S. RAM,M,,,SWA,2291.0
10,116918,HARYANA,1967,2 NARAINGARH,5 G. SINGH,M,,,IND,1541.0
11,116919,HARYANA,1967,2 NARAINGARH,6 B. PARSHAD,M,,,IND,936.0
12,116920,HARYANA,1967,3 CHHACHROLI,1 R. PARKASH,M,,,INC,15525.0
13,116921,HARYANA,1967,3 CHHACHROLI,1 R. PARKASH,M,,,INC,15525.0
14,116922,HARYANA,1967,3 CHHACHROLI,2 P. CHAND,M,,,IND,14605.0
15,116923,HARYANA,1967,3 CHHACHROLI,3 S. RAM,M,,,CPI,3312.0
16,116924,HARYANA,1967,3 CHHACHROLI,4 KISHORE,M,,,BJS,3101.0
17,116925,HARYANA,1967,4 JAGADHRI,1 D. PRAKASH,M,,,BJS,14665.0
18,116926,HARYANA,1967,4 JAGADHRI,2 G. SINGH,M,,,INC,12856.0
19,116927,HARYANA,1967,4 JAGADHRI,3 R. A. SINGH,M,,,SWA,3742.0
20,116928,HARYANA,1967,4 JAGADHRI,4 T. DASS,M,,,IND,2740.0
21,116929,HARYANA,1967,4 JAGADHRI,5 M. RAM,M,,,IND,1169.0
22,116930,HARYANA,1967,4 JAGADHRI,6 S. CHAND,M,,,IND,338.0
23,116931,HARYANA,1967,4 JAGADHRI,7 R. DASS,M,,,IND,154.0
