,Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
0,116978,HARYANA,1967,15 KARNAL,1 R. LAL,M,,,BJS,11702.0
1,116979,HARYANA,1967,15 KARNAL,2 L. RAM,M,,,INC,9215.0
2,116980,HARYANA,1967,15 KARNAL,3 R. PIARA,M,,,IND,9080.0
3,116981,HARYANA,1967,15 KARNAL,4 S. PRASAD,M,,,IND,5176.0
4,116982,HARYANA,1967,15 KARNAL,5 P. LAL,M,,,IND,1924.0
5,116983,HARYANA,1967,15 KARNAL,6 S. SUNDER,M,,,IND,196.0
6,117462,HARYANA,1968,15 KARNAL,1 SHANTI PRASAD,M,,,IND,10648.0
7,117463,HARYANA,1968,15 KARNAL,2 RAM LAL,M,,,BJS,8285.0
8,117464,HARYANA,1968,15 KARNAL,3 ROSHAN LAL,M,,,INC,7127.0
9,117465,HARYANA,1968,15 KARNAL,4 RAM PIARA,M,,,BKD,6162.0
10,117854,HARYANA,1972,15 KARNAL,1 RAM LAL,M,,,BJS,17719.0
11,117855,HARYANA,1972,15 KARNAL,2 SHANTI DEVI,F,,,INC,16857.0
12,117856,HARYANA,1972,15 KARNAL,3 BALWAN SINGH,M,,,IND,1602.0
13,117857,HARYANA,1972,15 KARNAL,4 PIARA LAL,M,,,IND,1243.0
14,117858,HARYANA,1972,15 KARNAL,5 KALI RAM,M,,,IND,1203.0
15,117859,HARYANA,1972,15 KARNAL,6 KALLU,M,,,IND,616.0
16,117860,HARYANA,1972,15 KARNAL,7 RADHE SHAYAM,M,,,IND,542.0
17,117861,HARYANA,1972,15 KARNAL,8 KASHMIRA SINGH,M,,,IND,180.0
18,118236,HARYANA,1977,13 KARNAL,1 RAM LAL,M,,,JNP,25236.0
19,118237,HARYANA,1977,13 KARNAL,2 RAM SARUP,M,,,INC,7303.0
20,118238,HARYANA,1977,13 KARNAL,3 RAM PIARA,M,,,IND,4937.0
21,118239,HARYANA,1977,13 KARNAL,4 SHANTI PRASAD ALIAS NOAN SAHIB,M,,,IND,885.0
22,118240,HARYANA,1977,13 KARNAL,5 KESAR DAS,M,,,IND,136.0
23,118988,HARYANA,1982,13 KARNAL,1 SHANTI DEVI,F,,,INC,30267.0
24,118989,HARYANA,1982,13 KARNAL,2 RAM LAL,M,,,BJP,17618.0
25,118990,HARYANA,1982,13 KARNAL,3 PARAMJIT SINGH,M,,,IND,1814.0
26,118991,HARYANA,1982,13 KARNAL,4 AVTAR SINGH,M,,,JNP,1340.0
27,118992,HARYANA,1982,13 KARNAL,5 KALLU RAM,M,,,IND,1108.0
28,118993,HARYANA,1982,13 KARNAL,6 BHARTU RAM,M,,,IND,418.0
29,118994,HARYANA,1982,13 KARNAL,7 SHYAM SUNDER,M,,,IND,203.0
30,118995,HARYANA,1982,13 KARNAL,8 SAVITRI DEVI,F,,,IND,157.0
31,118996,HARYANA,1982,13 KARNAL,9 TRILOCHAN SINGH,M,,,IND,132.0
32,118997,HARYANA,1982,13 KARNAL,10 CHARAN DASS,M,,,IND,107.0
33,118998,HARYANA,1982,13 KARNAL,11 GANGA RAM,M,,,IND,95.0
34,118999,HARYANA,1982,13 KARNAL,12 PRITHVI RAJ,M,,,IND,79.0
35,119000,HARYANA,1982,13 KARNAL,13 BISHESHAR DASS,M,,,IND,77.0
36,119001,HARYANA,1982,13 KARNAL,14 PREM CHAND,M,,,IND,42.0
37,120113,HARYANA,1987,13 KARNAL,1 LACHHMAN DASS,M,,,BJP,32156.0
38,120114,HARYANA,1987,13 KARNAL,2 JAI PRAKASH,M,,,INC,26955.0
39,120115,HARYANA,1987,13 KARNAL,3 PARDEEP KUMAR,M,,,IND,381.0
40,120116,HARYANA,1987,13 KARNAL,4 KASHMIRA SINGH,M,,,IND,327.0
41,120117,HARYANA,1987,13 KARNAL,5 NAINI RAM,M,,,IND,308.0
42,120118,HARYANA,1987,13 KARNAL,6 OM PARKASH,M,,,IND,182.0
43,120119,HARYANA,1987,13 KARNAL,7 SHANTI PARKASH (NOON SAHIB),M,,,IND,147.0
44,120120,HARYANA,1987,13 KARNAL,8 SOHAN LAL,M,,,IND,122.0
45,120121,HARYANA,1987,13 KARNAL,9 SUMER CHAND,M,,,IND,100.0
46,120122,HARYANA,1987,13 KARNAL,10 SUNDER LAL,M,,,IND,92.0
47,120123,HARYANA,1987,13 KARNAL,11 SUBASH CHANDER,M,,,IND,82.0
48,120124,HARYANA,1987,13 KARNAL,12 PARVESH KUMAR GOEL,M,,,IND,72.0
49,120125,HARYANA,1987,13 KARNAL,13 RAJINDER SINGH,M,,,IND,71.0
50,120126,HARYANA,1987,13 KARNAL,14 BUDH RAM,M,,,IND,68.0
51,120127,HARYANA,1987,13 KARNAL,15 RAJ KUMAR,M,,,IND,61.0
52,120128,HARYANA,1987,13 KARNAL,16 SUSHEEL KUMAR,M,,,IND,44.0
53,120129,HARYANA,1987,13 KARNAL,17 KRISHAN CHAND,M,,,IND,37.0
54,121485,HARYANA,1991,13 KARNAL,1 JAI PARKASH,M,,,INC,36485.0
55,121486,HARYANA,1991,13 KARNAL,2 CHETAN DASS,M,,,BJP,16798.0
56,121487,HARYANA,1991,13 KARNAL,3 DALBIR SINGH SANDHU,M,,,IND,7690.0
57,121488,HARYANA,1991,13 KARNAL,4 BRIJ KUMAR,M,,,JP,4000.0
58,121489,HARYANA,1991,13 KARNAL,5 DARSHAN LAL,M,,,HVP,2634.0
59,121490,HARYANA,1991,13 KARNAL,6 SURAJ PARKASH,M,,,IND,360.0
60,121491,HARYANA,1991,13 KARNAL,7 RAVINDER KUMAR,M,,,IND,350.0
61,121492,HARYANA,1991,13 KARNAL,8 DEVINDER SHARMA,M,,,IND,337.0
62,121493,HARYANA,1991,13 KARNAL,9 ISHWAR SINGH,M,,,IND,300.0
63,121494,HARYANA,1991,13 KARNAL,10 SUMER CHAND,M,,,RPI,240.0
64,121495,HARYANA,1991,13 KARNAL,11 PREM CHAND SHARMA,M,,,IND,210.0
65,121496,HARYANA,1991,13 KARNAL,12 DAULAT RAM,M,,,IND,173.0
66,121497,HARYANA,1991,13 KARNAL,13 GURCHARAN,M,,,IND,145.0
67,121498,HARYANA,1991,13 KARNAL,14 CHARAN SINGH,M,,,IND,133.0
68,121499,HARYANA,1991,13 KARNAL,15 JOGINDER KUMAR,M,,,IND,109.0
69,121500,HARYANA,1991,13 KARNAL,16 KANSHI RAM,M,,,IND,98.0
70,121501,HARYANA,1991,13 KARNAL,17 FATEH CHAND,M,,,IND,93.0
71,121502,HARYANA,1991,13 KARNAL,18 CHARANJIT SINGH SAGGU,M,,,IND,85.0
72,121503,HARYANA,1991,13 KARNAL,19 RAVINDER,M,,,IND,72.0
73,121504,HARYANA,1991,13 KARNAL,20 KALAWATI,F,,,IND,54.0
74,121505,HARYANA,1991,13 KARNAL,20 BHAGAT RAM,M,,,IND,54.0
75,121506,HARYANA,1991,13 KARNAL,22 AMARJIT SINGH,M,,,IND,53.0
76,121507,HARYANA,1991,13 KARNAL,23 SATINDER MOHAN,M,,,IND,52.0
77,121508,HARYANA,1991,13 KARNAL,24 RAJINDER PRASAD,M,,,IND,43.0
78,121509,HARYANA,1991,13 KARNAL,25 SHANTI DEVI,F,,,IND,42.0
79,121510,HARYANA,1991,13 KARNAL,26 RAMESH KUMAR,M,,,IND,40.0
80,121511,HARYANA,1991,13 KARNAL,27 MANJIT SINGH,M,,,IND,10.0
81,123433,HARYANA,1996,13 KARNAL,1 SHASHIPAL MEHTA,M,,,BJP,35511.0
82,123434,HARYANA,1996,13 KARNAL,2 JAI PARKASH,M,,,INC,27093.0
83,123435,HARYANA,1996,13 KARNAL,3 SURESH KUMAR,M,,,AIIC(T),15936.0
84,123436,HARYANA,1996,13 KARNAL,4 BRIJ KUMAR,M,,,SAP,7044.0
85,123437,HARYANA,1996,13 KARNAL,5 SURESH KUMAR S/O BADLU RAM,M,,,BSP,2272.0
86,123438,HARYANA,1996,13 KARNAL,6 ISHWAR SINGH,M,,,JD,1878.0
87,123439,HARYANA,1996,13 KARNAL,7 BALWINDER SINGH,M,,,IND,1567.0
